action_name,action_value,app_type,event_id,map_keys
action,24,likee,102837,"fans_join_set_source,group_type,_linkd_,create_source"
action,248,likee,102837,"intimacy_type,_linkd_,intimacy_source,to_uid"
active,1,likee,103003,"msgid,save_album_time,taskid,_linkd_,mark_video_time,select_status"
action,265,likee,103006,"comment_status,at_cnt,entrance,has_reward_button,reforward_list_comment_id,fromlist,has_gift_icon,room_id,live_status,reforward_list_click_result,activity_pos,activity_id,spltask_panel_pattern,report_reason,vertical_lab_disp,link_type,superlike_fail_reason,social_is_display,is_click_activity,follow_is,comment_is_hot,superlike_balance,duet_id,rank,rights_comment,dis_more,msg_type,superlike_send_count,first_entrance,crm_type,gif_load_time,spl_with_comment,seqid,follow_video_list_type,hashtag_id,click_unfollow_source,reforward_moment_id,gift_icon_location,is_follow_rec,_linkd_,is_clappers_card,hashtag_display,at_uid,follow_guide_rec_type,social_name,is_show_activity,music_id,save_status,like_is,moment_source,is_show_intervene_deeplink,reforward_list_report_reason,is_supertag,launch_type,comment_id,origin_comment_id,video_author_uid,is_superfollow,is_getconf_activity,creator_type,enter_follow_type,goods_id,is_close_activity,comment_send_location,postid,vertical_lab,comment_type,dis_share,moment_id,at_display,hashtag_tap,effect_new_dis,comment_send_status,has_gift_leaderboard_icon,video_type"
action,293,likee,103006,"comment_status,at_cnt,entrance,has_reward_button,reforward_list_comment_id,fromlist,memory_pressure,has_gift_icon,room_id,live_status,reforward_list_click_result,activity_pos,activity_id,spltask_panel_pattern,report_reason,vertical_lab_disp,link_type,superlike_fail_reason,social_is_display,is_click_activity,follow_is,comment_is_hot,superlike_balance,duet_id,rank,rights_comment,msg_type,dis_more,superlike_send_count,same_effect_type,spl_send_source,first_entrance,crm_type,gif_load_time,spl_with_comment,seqid,follow_video_list_type,hashtag_id,click_unfollow_source,hot_title,reforward_moment_id,gift_icon_location,is_follow_rec,_linkd_,is_clappers_card,location_type,hashtag_display,follow_guide_rec_type,at_uid,is_anonymous,social_name,is_show_activity,spl_level,music_id,save_status,like_is,moment_source,is_show_intervene_deeplink,reforward_list_report_reason,is_supertag,recv_memory_warning,launch_type,comment_id,origin_comment_id,spl_effect_disp,video_author_uid,is_superfollow,is_getconf_activity,creator_type,enter_follow_type,goods_id,is_close_activity,comment_send_location,postid,vertical_lab,comment_type,dis_share,moment_id,at_display,hashtag_tap,effect_new_dis,is_text_video,comment_send_status,has_gift_leaderboard_icon,video_type"
action,267,likee,103052,"video_author_uid,msg_type,first_entrance,creator_type,entrance,click_position,fromlist,seqid,postid,picture_num,is_picture_feed,launch_type,picture_pos,is_follow_rec,is_text_video,is_anonymous"
action,303,likee,103052,"origin_comment_id,video_author_uid,msg_type,first_entrance,moment_source,creator_type,click_position,entrance,fromlist,seqid,follow_video_list_type,postid,picture_num,comment_type,is_picture_feed,moment_id,launch_type,comment_id,picture_pos,is_follow_rec,is_text_video,is_anonymous"
action,325,likee,103052,"comment_status,at_cnt,entrance,has_reward_button,reforward_list_comment_id,fromlist,memory_pressure,has_gift_icon,room_id,picture_num,live_status,reforward_list_click_result,activity_pos,activity_id,spltask_panel_pattern,report_reason,vertical_lab_disp,link_type,superlike_fail_reason,social_is_display,is_click_activity,follow_is,comment_is_hot,superlike_balance,duet_id,rights_comment,msg_type,dis_more,superlike_send_count,spl_send_source,first_entrance,crm_type,click_position,gif_load_time,seqid,spl_with_comment,follow_video_list_type,hashtag_id,click_unfollow_source,reforward_moment_id,picture_pos,is_follow_rec,_linkd_,gift_icon_location,is_clappers_card,hashtag_display,location_type,at_uid,social_name,is_anonymous,is_show_activity,follow_guide_rec_type,spl_level,music_id,save_status,like_is,moment_source,is_show_intervene_deeplink,reforward_list_report_reason,is_supertag,is_picture_feed,recv_memory_warning,launch_type,comment_id,origin_comment_id,spl_effect_disp,video_author_uid,is_superfollow,is_getconf_activity,creator_type,enter_follow_type,goods_id,is_close_activity,postid,comment_send_location,vertical_lab,comment_type,dis_share,moment_id,at_display,hashtag_tap,effect_new_dis,is_text_video,comment_send_status,has_gift_leaderboard_icon,video_type"
action,35,likee,103052,"comment_status,at_cnt,entrance,has_reward_button,reforward_list_comment_id,fromlist,memory_pressure,has_gift_icon,room_id,picture_num,live_status,reforward_list_click_result,activity_pos,activity_id,spltask_panel_pattern,report_reason,vertical_lab_disp,link_type,superlike_fail_reason,social_is_display,is_click_activity,follow_is,comment_is_hot,superlike_balance,duet_id,rights_comment,msg_type,dis_more,superlike_send_count,spl_send_source,first_entrance,crm_type,click_position,gif_load_time,spl_with_comment,seqid,follow_video_list_type,hashtag_id,click_unfollow_source,reforward_moment_id,picture_pos,is_follow_rec,_linkd_,gift_icon_location,is_anonymous,hashtag_display,location_type,follow_guide_rec_type,at_uid,is_clappers_card,social_name,is_show_activity,spl_level,music_id,save_status,like_is,moment_source,is_show_intervene_deeplink,reforward_list_report_reason,is_supertag,is_picture_feed,recv_memory_warning,launch_type,comment_id,origin_comment_id,spl_effect_disp,video_author_uid,comment_hide_type,is_superfollow,is_getconf_activity,creator_type,enter_follow_type,goods_id,is_close_activity,comment_send_location,postid,vertical_lab,comment_type,dis_share,moment_id,at_display,hashtag_tap,effect_new_dis,is_text_video,comment_send_status,has_gift_leaderboard_icon,video_type"
action,45,likee,103052,"comment_status,at_cnt,entrance,has_reward_button,reforward_list_comment_id,fromlist,memory_pressure,has_gift_icon,room_id,picture_num,is_resend,live_status,activity_pos,reforward_list_click_result,activity_id,spltask_panel_pattern,report_reason,vertical_lab_disp,link_type,superlike_fail_reason,social_is_display,is_click_activity,follow_is,comment_is_hot,superlike_balance,duet_id,rights_comment,msg_type,dis_more,superlike_send_count,spl_send_source,first_entrance,crm_type,click_position,gif_load_time,spl_with_comment,seqid,follow_video_list_type,hashtag_id,click_unfollow_source,reforward_moment_id,picture_pos,is_follow_rec,_linkd_,gift_icon_location,hashtag_display,is_clappers_card,at_uid,is_anonymous,location_type,social_name,is_show_activity,follow_guide_rec_type,spl_level,music_id,save_status,like_is,moment_source,is_show_intervene_deeplink,reforward_list_report_reason,is_supertag,is_picture_feed,recv_memory_warning,launch_type,comment_id,origin_comment_id,spl_effect_disp,video_author_uid,is_superfollow,is_getconf_activity,creator_type,enter_follow_type,goods_id,is_close_activity,comment_send_location,postid,vertical_lab,comment_type,dis_share,moment_id,at_display,hashtag_tap,effect_new_dis,is_text_video,comment_send_status,has_gift_leaderboard_icon,video_type"
